,date,length,age,maturity,stage
1,9/2/2003,31,10,Immature,1
2,10/7/2002,32,6,Immature,1
3,7/18/2000,32,11,Immature,1
4,6/11/2001,32,11,Immature,2
5,8/8/2000,32,13,Immature,2
6,10/4/2003,33,9,Immature,1
7,7/17/2000,33,10,Immature,1
8,8/18/2002,34,8,Immature,1
9,7/12/2000,34,10,Immature,1
10,7/25/2000,34,11,Immature,1
11,7/17/2000,35,11,Immature,1
12,7/13/2002,35,12,Immature,1
13,7/17/2000,36,10,Immature,1
14,8/6/2000,36,10,Mature,2
15,7/16/2003,36,10,Mature,1
16,7/25/2000,36,12,Immature,1
17,8/27/2003,37,9,Immature,1
18,7/18/2000,37,9,Mature,2
19,7/25/2000,37,11,Immature,1
20,5/13/2000,37,14,Immature,1
21,6/21/2002,37,17,Mature,1
22,6/3/2002,38,9,Unknown,2
23,8/12/2000,38,10,Immature,2
24,7/18/2000,38,11,Immature,2
25,6/21/2002,38,12,Immature,1
26,6/16/2002,38,18,Mature,2
27,10/3/2003,39,11,Immature,2
28,8/6/2000,39,11,Mature,2
29,5/13/2000,39,13,Immature,1
30,8/30/2002,39,14,Mature,6
31,6/21/2002,39,16,Unknown,1
32,6/11/2001,40,12,Immature,6
33,8/31/2003,40,12,Mature,7
34,6/11/2001,40,12,Unknown,2
35,10/6/2002,40,13,Unknown,7
36,10/6/2003,40,14,Immature,1
37,6/3/2002,40,15,Mature,3
38,8/27/2003,40,16,Immature,2
39,5/10/2000,41,10,Mature,4
40,5/13/2000,41,11,Immature,1
41,7/18/2000,41,11,Mature,2
42,8/18/2002,41,16,Mature,6
43,5/21/2001,41,20,Mature,4
44,6/9/2003,41,21,Mature,2
45,5/26/2002,41,21,Mature,2
46,10/1/2003,42,10,Immature,2
47,7/29/2003,42,13,Mature,7
48,7/25/2000,42,14,Mature,7
49,5/4/2000,42,14,Mature,5
50,10/25/2003,42,15,Mature,8
51,6/21/2002,42,15,Unknown,2
52,5/4/2000,42,16,Mature,5
53,9/17/2003,42,17,Mature,7
54,7/17/2000,43,12,Mature,2
55,4/7/2001,43,12,Mature,3
56,5/27/2001,43,13,Mature,4
57,6/21/2002,43,16,Mature,1
58,9/13/2002,43,17,Unknown,7
59,10/7/2002,43,18,Mature,1
60,9/8/2002,43,20,Mature,1
61,9/4/2003,44,14,Immature,1
62,9/9/2003,44,14,Mature,7
63,6/21/2002,44,15,Mature,6
64,10/7/2002,44,16,Mature,6
65,6/11/2002,44,16,Unknown,2
66,5/4/2003,44,17,Mature,3
67,6/11/2001,44,17,Unknown,2
68,10/7/2002,44,19,Mature,7
69,5/21/2001,44,20,Mature,6
70,6/16/2003,44,21,Mature,3
71,8/6/2002,45,11,Mature,6
72,7/1/2003,45,14,Mature,3
73,5/10/2000,45,15,Mature,5
74,7/12/2000,45,19,Mature,6
75,9/29/2003,45,20,Mature,6
76,5/10/2000,46,9,Mature,4
77,5/10/2000,46,13,Mature,4
78,8/23/2003,46,14,Mature,7
79,10/27/2003,46,14,Mature,7
80,5/10/2000,46,14,Mature,4
81,10/2/2003,46,15,Mature,2
82,5/10/2000,46,15,Mature,4
83,5/10/2000,46,16,Mature,2
84,8/18/2002,46,17,Mature,6
85,5/4/2003,46,18,Mature,3
86,10/6/2002,46,18,Mature,2
87,8/25/2002,46,19,Mature,1
88,8/12/2002,46,19,Mature,6
89,6/3/2002,46,20,Mature,2
90,6/9/2003,46,21,Mature,2
91,5/4/2003,46,22,Mature,6
92,5/27/2002,46,22,Mature,4
93,5/27/2002,46,23,Mature,2
94,6/10/2004,46,28,Mature,6
95,10/6/2003,47,14,Mature,7
96,7/25/2000,47,15,Mature,6
97,5/21/2001,47,16,Mature,6
98,5/13/2008,47,18,Immature,2
99,10/7/2002,47,18,Mature,6
100,8/5/2002,47,18,Mature,6
101,8/3/2002,47,26,Mature,N/A
102,8/19/2002,47,28,Mature,6
103,5/21/2001,47,31,Mature,4
104,7/18/2000,48,14,Mature,6
105,10/25/2003,48,15,Mature,7
106,7/26/2003,48,16,Mature,4
107,6/21/2002,48,16,Mature,6
108,10/3/2003,48,17,Mature,6
109,10/7/2002,48,19,Unknown,7
110,6/16/2002,48,23,Mature,6
111,5/4/2000,48,23,Mature,5
112,10/7/2002,48,26,Mature,6
113,5/4/2000,48,27,Mature,5
114,9/8/2002,49,13,Mature,1
115,10/7/2002,49,15,Immature,1
116,9/7/2003,49,17,Mature,7
117,6/16/2003,49,18,Mature,6
118,8/6/2002,49,18,Mature,6
119,10/7/2002,49,18,Mature,7
120,5/4/2003,49,30,Mature,7
121,4/28/2003,50,11,Mature,4
122,8/8/2002,50,16,Mature,NA
123,5/27/2002,50,20,Mature,4
124,8/26/2003,51,21,Mature,7
125,10/7/2002,51,25,Mature,1
126,10/7/2002,51,28,Mature,6
127,5/21/2001,52,13,Mature,6
128,10/7/2002,52,30,Mature,6
129,6/16/2002,52,30,Mature,6
130,6/3/2002,52,31,Mature,2
131,6/10/2004,52,31,Mature,6
132,9/7/2003,53,18,Unknown,2
133,5/4/2000,53,26,Mature,5
134,10/4/2003,53,28,Mature,7
135,6/10/2004,53,28,Mature,6
136,5/4/2000,53,29,Mature,5
137,10/7/2002,53,30,Mature,6
138,8/5/2002,54,20,Mature,6
139,6/16/2002,54,42,Mature,3
140,9/1/2002,56,44,Mature,6
141,7/5/2003,57,18,Mature,7
142,5/3/2003,57,19,Mature,3
143,8/18/2002,57,32,Mature,6
144,7/28/2002,57,70,Mature,6
145,6/13/2003,58,32,Mature,4
146,8/6/2002,58,39,Mature,6
147,8/26/2003,60,28,Mature,5
148,10/6/2003,60,28,Mature,7
149,7/26/2002,60,33,Mature,6
150,5/18/2001,61,42,Mature,4
151,8/8/2000,61,89,Mature,6
152,4/23/2001,62,61,Mature,6
153,8/14/2003,64,42,Mature,7
154,8/9/2002,65,54,Mature,6
155,10/7/2002,65,94,Mature,6
156,8/18/2002,67,50,Mature,6
157,10/7/2002,68,88,Mature,6
158,4/23/2001,70,66,Mature,4
